subject_id,loc_plot_state1,loc_plot_city1,loc_plot_state2,loc_plot_city2,year_exposure,plot_target1,plot_target2,plot_target3,attack_preparation,changing_target,anticp_fatals_targ,internet_use_plot,extent_plot,violent,primary_event_mass_casualty_inci,q,r,foreign_fighter,criminal_severity,criminal_charges,indict_arrest,current_status,group_membership,actively_recruited,recruiter1,recruiter2,recruiter3,actively_connect,group_competition,role_group,length_group,clique,internet_radicalization,media_radicalization,social_media,social_media_frequency,social_media_platform1,social_media_platform2,social_media_platform3,social_media_platform4,social_media_platform5,social_media_activities1,social_media_activities2,social_media_activities3,social_media_activities4,social_media_activities5,social_media_activities6,social_media_activities7,radicalization_islamist,radicalization_far_right,radicalization_far_left,radicalization_single_issue,ideological_sub_category1,ideological_sub_category2,ideological_sub_category3,loc_habitation_state1,loc_habitation_city1,loc_habitation_state2,loc_habitation_city2,itinerant,external_rad,rad_duration,radical_behaviors,radical_beliefs,us_govt_leader,foreign_govt_leader,event_influence1,event_influence2,event_influence3,event_influence4,radicalization_sequence,radicalization_place,prison_radicalize,broad_ethnicity,age,marital_status,children,gender,religious_background,convert,reawakening,citizenship,residency_status,nativity,time_us_months,immigrant_generation,immigrant_source,education,student,employment_status,work_history,military,military_status_arrest,foreign_military,social_stratum_childhood,social_stratum_adulthood,abuse_child,abuse_adult,abuse_type1,abuse_type2,abuse_type3,psychological,alcohol_drug,radical_friend,radical_family,radical_signif_other,previous_criminal_activity,previous_criminal_activity_type1,previous_criminal_activity_type2,previous_criminal_activity_type3,previous_criminal_activity_age,gang,gang_age_joined,trauma,other_ideologies,angry_us,group_grievance,component_id,component_density,lone_offender,degree_centrality,betweenness_centrality,closeness_centrality
3236,Arizona,Phoenix,,,1988,-88,,,-88,-88,-88,-88,0,0,,,,0,2,1,2,-99,1,0,-88,,,-99,-99,3,-99,1,,,,,,,,,,,,,,,,,0,0,0,1,15,,,Arizona,Tempe,,,-99,-99,-99,5,1,-99,-99,-99,,,,-99,-99,-99,-99,-99,2,-99,2,-99,0,-99,United States of America,1,United States of America,-99,0,-88,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,,,-99,0,-88,-99,0,-99,1,276,1.0,0,2,0,1.0
3237,Massachusetts,Boston,,,1989,-88,,,-88,-88,-88,-88,0,0,,,,0,2,-99,1,-99,1,-99,-99,,,-99,-99,-99,-99,0,,,,,,,,,,,,,,,,,0,0,0,1,15,,,Massachusetts,Boston,,,0,0,-99,5,5,-99,-99,-99,,,,-99,-99,-99,3,-99,-99,-99,1,-99,0,-99,United States of America,1,United States of America,-99,0,-88,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,,,-99,0,-88,-99,0,-99,-99,4,0.04375461936437546,0,7,0,0.115770042194092
3238,Georgia,-99,Kansas,-99,1988,-88,,,-88,-88,-88,-88,0,0,,,,0,2,2,4,1,1,-99,-99,,,-99,-99,3,-99,0,,,,,,,,,,,,,,,,,0,0,0,1,15,,,Georgia,Atlanta,,,1,1,3,6,5,1,0,-99,,,,-99,-99,-88,3,33,2,8,2,7,0,-99,United States of America,1,United States of America,-99,0,-88,7,1,-99,-99,0,-88,0,2,2,0,0,-88,,,0,0,-99,1,1,0,-88,,,-88,0,-88,0,0,1,0,4,0.04375461936437546,0,9,3.853913634274212E-5,0.0969576500469328
3239,Kansas,Wichita,,,1991,-88,,,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,4,1,1,-99,-99,,,-99,0,3,-99,0,,,,,,,,,,,,,,,,,0,0,0,1,15,,,Ohio,Cleveland,,,1,0,3,9,4,-99,-99,-99,,,,1,-99,-88,3,39,2,1,2,11,0,-99,United States of America,1,United States of America,468,0,-88,-99,0,1,4,0,-88,0,-99,2,0,0,-88,,,0,0,2,-99,-99,0,-88,,,-88,0,-88,-99,0,-99,1,4,0.04375461936437546,0,22,.007490556301335,0.107184276384056
3241,Kansas,Wichita,,,1991,-88,,,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,1,4,1,-99,-99,,,-99,-99,1,-99,0,,,,,,,,,,,,,,,,,0,0,0,1,15,,,Missouri,Neosho,,,-99,-99,-99,5,4,-99,-99,-99,,,,-99,-99,-88,3,34,2,4,2,11,0,-99,United States of America,1,United States of America,408,0,-88,-99,-99,-99,-99,0,-88,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,,,-99,0,-88,-99,0,-99,-99,4,0.04375461936437546,0,18,.004037061498854,0.107138499084807
3244,New York,-99,,,1992,-88,,,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,1,1,1,0,-88,,,0,0,3,-99,1,,,,,,,,,,,,,,,,,0,0,0,1,15,,,New York,Tonawanda,,,1,0,3,7,5,1,0,-99,,,,1,-99,-88,3,33,2,8,2,6,1,2,United States of America,1,United States of America,408,0,-88,-99,0,1,4,0,-88,0,-99,3,0,0,-88,,,0,0,2,2,0,0,-88,,,-88,0,-88,-99,0,1,2,384,-88.0,0,1,0,1.0
3246,Georgia,Atlanta,,,2006,-88,,,-88,-88,-88,-88,0,0,-88,-88,-88,0,2,1,1,1,1,0,-88,,,1,0,2,-99,0,0,0,0,,,,,,,,,,,,,,0,0,0,1,15,,,Missouri,Belton,,,1,0,2,9,5,0,0,0,,,,1,0,-99,3,44,1,0,2,11,0,0,United States of America,1,United States of America,528,0,-88,-99,0,-99,-99,0,-88,0,-99,-99,0,0,-88,,,0,0,-99,-99,0,-99,-99,,,-99,0,-88,0,0,1,0,1120,-88.0,1,0,0,0.0
3248,Florida,Pensacola,,,1985,5,,,-99,0,0,-88,5,1,,,,0,10,2,4,4,2,0,-88,,,-99,-99,3,-99,0,,,,,,,,,,,,,,,,,0,0,0,1,15,,,Florida,Cantonment,,,0,0,-99,10,5,-99,-99,-99,,,,1,-99,-99,3,21,2,-99,2,11,0,-99,United States of America,1,United States of America,252,0,-88,-99,-99,2,4,1,0,0,-99,2,0,0,-88,,,0,0,3,-99,2,-99,-99,,,-99,0,-88,-99,0,1,1,4,0.04375461936437546,0,4,0,0.0940999946412303
3250,Pennsylvania,Upland,,,1986,-88,,,-88,-88,-88,-88,0,0,,,,0,2,1,4,1,0,0,-88,,,-99,-88,-88,-88,1,,,,,,,,,,,,,,,,,0,0,0,1,15,,,Pennsylvania,Upper Darby,,,-99,-99,-99,5,3,-99,-99,-99,,,,-99,1,-88,3,40,2,7,2,-99,0,-99,United States of America,1,United States of America,480,0,-88,11,0,1,4,0,-88,0,-99,3,0,0,-88,,,0,0,-99,-99,1,-99,-99,,,-99,0,-88,-99,0,-99,-99,385,-88.0,0,1,0,1.0
3251,Florida,Pensacola,,,1986,-88,,,-88,-88,-88,-88,0,0,,,,0,2,1,2,-99,1,0,-88,,,0,1,3,72,0,,,,,,,,,,,,,,,,,0,0,0,1,15,,,Illinois,Chicago,,,0,0,-99,5,5,1,0,8,,,,1,0,-88,3,59,2,7,2,8,0,0,United States of America,1,United States of America,705,0,-88,-99,0,2,4,1,0,0,-99,2,0,0,-88,,,0,0,2,1,1,0,-88,,,-88,0,-88,0,0,1,1,4,0.04375461936437546,0,8,.0032550301527642,0.106968810916179
